PROVINCIE,link organisatie,type org,naam,adres,postcode,plaats,posx,posY,provincie,telf,regio
Drenthe,"/zorgorganisatie/805635/fysiotherapiepraktijk/annen/carras-fysiotherapie-sportrevalidatie",fysiotherapiepraktijk,Carras Fysiotherapie Sportrevalidatie - Annen,Westerveld 4,9468 GP ,Annen,53.059883,6.709764,,0592-274427,
Drenthe,"/zorgorganisatie/812156/psychologenpraktijk/ansen/klaver-drs-m",psychologenpraktijk,Klaver Drs M - Ansen,Kerkdijk 26,7964 KB ,Ansen,52.779125,6.337844,,074-2421441,
Drenthe,"/zorgorganisatie/803445/dietisten-praktijk/assen/helement-praktijk-voor-voedings-en-dieetadviezen",dietisten-praktijk,Helement Praktijk voor Voedings- en Dieetadviezen - Assen,Huisingehof 6,9403 PL ,Assen,53.016037,6.576535,,0592-347079,
Drenthe,"/zorgorganisatie/796487/dietisten-praktijk/assen/de-dieetbrug",dietisten-praktijk,De Dieetbrug - Assen,Heideveld 19,9407 GH ,Assen,53.018253,6.554163,,0592-858352,
Drenthe,"/zorgorganisatie/796521/fysiotherapiepraktijk/assen/schouwenburg-kregel-en-van-sisseren-fsyio-en-manuele-therapie-en-actieve-revalidatie",fysiotherapiepraktijk,Schouwenburg Kregel en Van Sisseren Fsyio- en Manuele Therapie en Actieve Revalidatie - Assen,Het Sticht 30-c,9401 GZ ,Assen,52.983841,6.534403,,0592-357117,
Drenthe,"/zorgorganisatie/796743/fysiotherapiepraktijk/assen/schouwenburg-kregel-en-van-sisseren-fsyio-en-manuele-therapie-en-actieve-revalidatie",fysiotherapiepraktijk,Schouwenburg Kregel en Van Sisseren Fsyio- en Manuele Therapie en Actieve Revalidatie - Assen,Collardslaan 6-c,9401 GZ ,Assen,52.983841,6.534403,,0592-317616/06-51008767,
Drenthe,"/zorgorganisatie/805638/fysiotherapiepraktijk/assen/afp-fysiotherapie-manuele-therapie",fysiotherapiepraktijk,Afp- Fysiotherapie-Manuele Therapie - Assen,Zuidersingel 18,9401 KB ,Assen,52.992142,6.560409,,0592-316920,
Drenthe,"/zorgorganisatie/805636/fysiotherapiepraktijk/assen/donleben-bekenkamp-fysiotherapie-g-s",fysiotherapiepraktijk,Donleben-Bekenkamp Fysiotherapie G S - Assen,Parkstraat 3,9401 LH ,Assen,52.989578,6.563715,,0592-313437,
Drenthe,"/zorgorganisatie/805639/fysiotherapiepraktijk/assen/kats-bekken-fysiotherapie-v",fysiotherapiepraktijk,Kats (bekken)fysiotherapie V - Assen,Parkstraat 6,9401 LJ ,Assen,52.989506,6.563834,,0592-330163,
Drenthe,"/zorgorganisatie/805637/fysiotherapiepraktijk/assen/hilberts-tim-fysiotherapie-c-s",fysiotherapiepraktijk,Hilberts-Tim Fysiotherapie C S - Assen,Beilerstraat 201,9401 PJ ,Assen,52.981911,6.560711,,0592-316181,
Drenthe,"/zorgorganisatie/805790/fysiotherapiepraktijk/assen/gezondheidsplein-marturia",fysiotherapiepraktijk,Gezondheidsplein Marturia - Assen,Thorbeckelaan 197/227,9402 DA ,Assen,53.001770,6.557914,,06-29583990,
Drenthe,"/zorgorganisatie/796592/fysiotherapiepraktijk/assen/beweegcentrum-de-molengaard",fysiotherapiepraktijk,Beweegcentrum de Molengaard - Assen,Molenstraat 271,9402 JR ,Assen,53.004978,6.557049,,0592-346263,
Drenthe,"/zorgorganisatie/794055/fysiotherapiepraktijk/assen/fysiotherapeutisch-centrum-marsdijk",fysiotherapiepraktijk,Fysiotherapeutisch Centrum Marsdijk - Assen,Kleuvenstee 17,9403 LT ,Assen,53.018147,6.585587,,0592-346950,
Drenthe,"/zorgorganisatie/805643/fysiotherapiepraktijk/assen/dbc-assen",fysiotherapiepraktijk,Dbc Assen - Assen,Borgstee 17,9403 TS ,Assen,53.013454,6.570862,,0592-406221,
Drenthe,"/zorgorganisatie/805641/fysiotherapiepraktijk/assen/griendt-fysiotherapie-van-de",fysiotherapiepraktijk,Griendt Fysiotherapie van de - Assen,Zeilmakerstraat 17/a,9403 VA ,Assen,53.012074,6.578430,,0592-345012,
Drenthe,"/zorgorganisatie/797432/fysiotherapiepraktijk/assen/fysiotherapie-snoeijing",fysiotherapiepraktijk,Fysiotherapie Snoeijing - Assen,Buizerdstraat 54,9404 BC ,Assen,52.993256,6.573765,,06 21874060,
Drenthe,"/zorgorganisatie/795524/fysiotherapiepraktijk/assen/paramedics-valkenstijn",fysiotherapiepraktijk,Paramedics Valkenstijn - Assen,Brunelstraat 6,9404 KD ,Assen,52.989300,6.580524,,0592-311161,
Drenthe,"/zorgorganisatie/795473/fysiotherapiepraktijk/assen/schouwenburg-kregel-en-van-sisseren-fsyio-en-manuele-therapie-en-actieve-revalidatie",fysiotherapiepraktijk,Schouwenburg Kregel en Van Sisseren Fsyio- en Manuele Therapie en Actieve Revalidatie - Assen,Zoom 18-c,9405 PS ,Assen,52.991753,6.518771,,0592-352161,
Drenthe,"/zorgorganisatie/796356/fysiotherapiepraktijk/assen/van-der-knaap-en-postmus",fysiotherapiepraktijk,Van der Knaap en Postmus - Assen,Nobellaan 201,9406 AE ,Assen,52.999783,6.550315,,0592-354151,
Drenthe,"/zorgorganisatie/805642/fysiotherapiepraktijk/assen/broerse-fysiotherapie-j",fysiotherapiepraktijk,Broerse Fysiotherapie J - Assen,Rijnstraat 52,9406 SG ,Assen,53.006405,6.539744,,0592-355118,
Drenthe,"/zorgorganisatie/805640/fysiotherapiepraktijk/assen/anninga-fysiotherapie-j",fysiotherapiepraktijk,Anninga Fysiotherapie J - Assen,Scharmbarg 41,9407 EA ,Assen,53.017460,6.561798,,0592-344708,
Drenthe,"/zorgorganisatie/790659/ggz-instelling/assen/ggz-drenthe-divisie-ggz-noord-drenthe-instituut-voor-psychotherapeutische-dagbehandeling",ggz-instelling,GGZ Drenthe divisie GGZ Noord-Drenthe Instituut voor Psychotherapeutische Dagbehandeling - Assen,Hendrik de Ruiterstraat 1,9401 KT ,Assen,52.993404,6.570739,,0592-381900,
Drenthe,"/zorgorganisatie/6851/ggz-instelling/assen/ggz-drenthe",ggz-instelling,GGZ Drenthe - Assen,Dennenweg 9,9404 LA ,Assen,52.983009,6.568357,,0592-334800,
Drenthe,"/zorgorganisatie/7147/kliniek/assen/braamkliniek",kliniek,Braamkliniek - Assen,Zoom 10,9405 PS ,Assen,52.991753,6.518771,,0592-315255,
Drenthe,"/zorgorganisatie/807612/logopediepraktijk/assen/wilhelmina-ziekenhuis-logopedische-praktijk",logopediepraktijk,Wilhelmina Ziekenhuis Logopedische Praktijk - Assen,Europaweg-Zuid 1,9401 RK ,Assen,52.984180,6.567662,,0592-325317,
Drenthe,"/zorgorganisatie/807684/logopediepraktijk/assen/logopedisch-centrum-noord",logopediepraktijk,Logopedisch Centrum Noord - Assen,Molenstraat 271,9402 JR ,Assen,53.004978,6.557049,,06-38073200,
Drenthe,"/zorgorganisatie/810702/podotherapie-praktijk/assen/rosien-podotherapiepraktijk",podotherapie-praktijk,Rosien Podotherapiepraktijk - Assen,Madridstraat 17,9403 DV ,Assen,53.026001,6.585404,,0592-345948,
Drenthe,"/zorgorganisatie/811987/psychologenpraktijk/assen/blij-advies",psychologenpraktijk,Blij Advies - Assen,Emmastraat 12,9401 HG ,Assen,52.992767,6.554485,,06-51803233,
Drenthe,"/zorgorganisatie/811765/psychologenpraktijk/assen/lammers-mw-drs-j-c",psychologenpraktijk,Lammers Mw Drs J C - Assen,Wilhelminastraat 17,9401 NM ,Assen,52.990681,6.562431,,0592-300763,
Drenthe,"/zorgorganisatie/793615/psychologenpraktijk/assen/nieuw-graswijk",psychologenpraktijk,Nieuw Graswijk - Assen,Beilerstraat 215,9401 PJ ,Assen,52.981911,6.560711,,0592-304755,
Drenthe,"/zorgorganisatie/794468/psychologenpraktijk/assen/medisch-expertise-a-advies-centrum-meac-bv",psychologenpraktijk,Medisch Expertise & Advies Centrum MEAC BV - Assen,Groningerstraat 230,9402 LP ,Assen,53.003239,6.565841,,0592-343937,
Drenthe,"/zorgorganisatie/811928/psychologenpraktijk/assen/keeken-ivonne-van",psychologenpraktijk,Keeken Ivonne van - Assen,Kortbree 20,9403 GA ,Assen,53.020439,6.576728,,06-36180155,
Drenthe,"/zorgorganisatie/795606/psychologenpraktijk/assen/psychologenpraktijk-assen",psychologenpraktijk,Psychologenpraktijk Assen - Assen,Kleuvenstee 2,9403 LR ,Assen,53.018265,6.585267,,0592-406506,
Drenthe,"/zorgorganisatie/795619/psychologenpraktijk/assen/praktijk-voor-eerstelijns-psychologie-ayres",psychologenpraktijk,Praktijk voor Eerstelijns Psychologie Ayres - Assen,Keverkleuven 23,9403 ZC ,Assen,53.023605,6.591304,,0592-373595,
Drenthe,"/zorgorganisatie/811764/psychologenpraktijk/assen/boer-psycholoog-drs-g-g-de",psychologenpraktijk,Boer Psycholoog Drs G G de - Assen,Amelte 8,9404 EL ,Assen,52.992588,6.588324,,0592-300072,
Drenthe,"/zorgorganisatie/796296/psychologenpraktijk/assen/seksuologie-en-psychologie-praktijk-assen",psychologenpraktijk,Seksuologie en Psychologie Praktijk Assen - Assen,Brunelstraat 2-a,9404 KD ,Assen,52.989300,6.580524,,06-48745644,
Drenthe,"/zorgorganisatie/811830/psychologenpraktijk/assen/zeeman-psychologen-praktijk",psychologenpraktijk,Zeeman Psychologen Praktijk - Assen,Anreep 12,9404 TE ,Assen,52.976368,6.584341,,06-15623970,
Drenthe,"/zorgorganisatie/811768/psychologenpraktijk/assen/coaching-en-training-oud-ammerveld",psychologenpraktijk,Coaching en Training Oud Ammerveld - Assen,De Vallei 96,9405 KM ,Assen,52.981346,6.537893,,0592-357107,
Drenthe,"/zorgorganisatie/811766/psychologenpraktijk/assen/psychologie-post-assen",psychologenpraktijk,Psychologie Post Assen - Assen,Planetenlaan 160,9405 PD ,Assen,52.994179,6.514700,,622972664,
Drenthe,"/zorgorganisatie/811767/psychologenpraktijk/assen/coloriet-vof",psychologenpraktijk,Coloriet Vof - Assen,Hietlanden 9,9407 JE ,Assen,53.019253,6.562358,,0592-346112,
Drenthe,"/zorgorganisatie/793509/verzorgingshuis-verpleeghuis/assen/anholt",verzorgingshuis-verpleeghuis,Anholt - Assen,Paul Krugerstraat 1,9401 AG ,Assen,52.996284,6.568767,,0592-338200,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/6701/ziekenhuis/assen/wilhelmina-ziekenhuis-wza",ziekenhuis,Wilhelmina Ziekenhuis | WZA - Assen,Hospitaallaan 10,9341 AH ,Assen,52.980469,6.542558,,00-31-85-2103004,
Drenthe,"/zorgorganisatie/814296/ziekenhuis/assen/dr-brinkmann-kliniek-assen",ziekenhuis,Dr. Brinkmann Kliniek Assen - Assen,Transportweg 10d,9405 PR ,Assen,52.994724,6.520224,,0592-352997,
Drenthe,"/zorgorganisatie/797092/fysiotherapiepraktijk/barger-compascuum/steenhuis-dhr-g",fysiotherapiepraktijk,Steenhuis dhr. G. - Barger-Compascuüm,Torenstraat 4,7884 PX ,Barger-Compascuüm,52.755558,7.040513,,0591-349941,
Drenthe,"/zorgorganisatie/796368/fysiotherapiepraktijk/beilen/fysio-centrum-beilen-h-c-jurgens",fysiotherapiepraktijk,Fysio Centrum Beilen H.C. Jurgens - Beilen,Wilhelminaplein 2,9411 PC ,Beilen,52.859379,6.518034,,0593-524059/06-13387963,
Drenthe,"/zorgorganisatie/793781/fysiotherapiepraktijk/beilen/praktijk-voor-fysiotherapie-en-manuele-therapie-beilen",fysiotherapiepraktijk,Praktijk voor Fysiotherapie en Manuele Therapie Beilen - Beilen,De Vonderkampen 134-a,9411 RG ,Beilen,52.855679,6.513975,,0593-524616,
Drenthe,"/zorgorganisatie/792400/ggz-instelling/beilen/ggz-drenthe-kenniscentrum-voor-relatieproblematiek-de-keerkring",ggz-instelling,GGZ-Drenthe Kenniscentrum voor Relatieproblematiek De Keerkring - Beilen,Altingerweg 1,9411 PA ,Beilen,52.860725,6.518882,,0593-535350,
Drenthe,"/zorgorganisatie/807627/logopediepraktijk/beilen/logopediepraktijk-beilen",logopediepraktijk,Logopediepraktijk Beilen - Beilen,Schoolstraat 6,9411 PB ,Beilen,52.860374,6.517942,,06-10610371,
Drenthe,"/zorgorganisatie/810703/podotherapie-praktijk/beilen/joesten-podotherapiepraktijk-e-h",podotherapie-praktijk,Joesten Podotherapiepraktijk E H - Beilen,Raadhuisstraat 16,9411 NB ,Beilen,52.860676,6.515364,,0593-523988,
Drenthe,"/zorgorganisatie/795290/psychologenpraktijk/beilen/praktijk-voor-psychotherapie-en-klinische-psychologie",psychologenpraktijk,Praktijk voor psychotherapie en klinische psychologie - Beilen,Romhof 43-45,9411 SB ,Beilen,52.865162,6.492976,,0593-524681,
Drenthe,"/zorgorganisatie/811773/psychologenpraktijk/beilen/stein-drs-a-c",psychologenpraktijk,Stein Drs A C - Beilen,Holthe 55,9411 TP ,Beilen,52.841591,6.541670,,0593-541730,
Drenthe,"/zorgorganisatie/805682/fysiotherapiepraktijk/borger/bdb-fysiotherapie-bouma-a-de-blois",fysiotherapiepraktijk,Bdb Fysiotherapie Bouma & de Blois - Borger,Hoofdstraat 32,9531 AG ,Borger,52.848793,6.848284,,0599-236389,
Drenthe,"/zorgorganisatie/805681/fysiotherapiepraktijk/borger/gertsen-fysiotherapie",fysiotherapiepraktijk,Gertsen Fysiotherapie - Borger,Hunzedal 23/a,9531 GA ,Borger,52.919846,6.802027,,0599-235114,
Drenthe,"/zorgorganisatie/811854/psychologenpraktijk/borger/eerstelijns-psychologie-praktijk-lotgerink",psychologenpraktijk,Eerstelijns Psychologie Praktijk Lotgerink - Borger,Hoofdstraat 57,9531 AC ,Borger,52.882366,6.863181,,06-20670725,
Drenthe,"/zorgorganisatie/811788/psychologenpraktijk/borger/borger-odoorn-eo-psychologie-praktijk",psychologenpraktijk,Borger-Odoorn Eo Psychologie Praktijk - Borger,Hofakkers 1,9531 HX ,Borger,52.930408,6.790810,,0599-234056,
Drenthe,"/zorgorganisatie/791597/ggz-instelling/boschoord/hoeve-boschoord",ggz-instelling,Hoeve Boschoord - Boschoord,Boijlerstraat 4,8387 XN ,Boschoord,52.900780,6.223785,,0561-422222,
Drenthe,"/zorgorganisatie/805786/fysiotherapiepraktijk/bovensmilde/thetra-fysiotherapie",fysiotherapiepraktijk,Thetra Fysiotherapie - Bovensmilde,Hoofdweg 210,9421 VD ,Bovensmilde,52.984142,6.483178,,06-29350274,
Drenthe,"/zorgorganisatie/805402/fysiotherapiepraktijk/coevorden/medifast-coevorden",fysiotherapiepraktijk,Medifast Coevorden - Coevorden,Meindert vd Thijnensngl 1,7741 GB ,Coevorden,52.662868,6.742992,,0524-526337,
Drenthe,"/zorgorganisatie/805400/fysiotherapiepraktijk/coevorden/fysiotherapeutisch-centrum",fysiotherapiepraktijk,Fysiotherapeutisch Centrum - Coevorden,Spoorhavenstraat 28,7741 JE ,Coevorden,52.659359,6.739475,,0524-515765,
Drenthe,"/zorgorganisatie/805401/fysiotherapiepraktijk/coevorden/witteborg-rugtherapie-bv",fysiotherapiepraktijk,Witteborg Rugtherapie BV - Coevorden,Parallelweg 45/5,7741 KA ,Coevorden,52.667904,6.734914,,0524-522787,
Drenthe,"/zorgorganisatie/793418/fysiotherapiepraktijk/coevorden/fysiotherapie-en-training",fysiotherapiepraktijk,Fysiotherapie en Training - Coevorden,Eendrachtstraat 8,7742 SZ ,Coevorden,52.656128,6.744631,,0524-512602,
Drenthe,"/zorgorganisatie/807522/logopediepraktijk/coevorden/valks-bartels-logopediepraktijk-coevorden-w",logopediepraktijk,Valks-Bartels Logopediepraktijk Coevorden W - Coevorden,Spoorhavenstraat 28,7741 JE ,Coevorden,52.659359,6.739475,,0524-512151,
Drenthe,"/zorgorganisatie/810673/podotherapie-praktijk/coevorden/klok-podotherapiepraktijk-n",podotherapie-praktijk,Klok Podotherapiepraktijk N - Coevorden,Eendrachtstraat 11,7742 VJ ,Coevorden,52.658012,6.742527,,0524-524566,
Drenthe,"/zorgorganisatie/795072/fysiotherapiepraktijk/dalen/fysiotherapeutisch-trainingscentrum",fysiotherapiepraktijk,Fysiotherapeutisch Trainingscentrum - Dalen,Hoofdstraat 17,7751 GA ,Dalen,52.698463,6.756384,,0524-552146,
Drenthe,"/zorgorganisatie/793638/fysiotherapiepraktijk/dalen/fysiotherapiepraktijk-habing-dhr-g",fysiotherapiepraktijk,Fysiotherapiepraktijk Habing Dhr. G. - Dalen,Hoofdstraat 51,7751 GB ,Dalen,52.695358,6.755183,,0524-552315,
Drenthe,"/zorgorganisatie/796682/fysiotherapiepraktijk/de-wijk-de-wolden/praktijk-voor-fysiotherapie-de-wijk",fysiotherapiepraktijk,Praktijk voor Fysiotherapie De Wijk - De Wijk De Wolden,Emmaweg 2,7957 AD ,De Wijk De Wolden,52.674049,6.286423,,0522-442388,
Drenthe,"/zorgorganisatie/807517/logopediepraktijk/de-wijk-de-wolden/logopediepraktijk-de-wijk-eo",logopediepraktijk,Logopediepraktijk de Wijk Eo - De Wijk De Wolden,Nic Oostinghweg 7,7957 CX ,De Wijk De Wolden,52.672630,6.292527,,0522-292618,
Drenthe,"/zorgorganisatie/797362/fysiotherapiepraktijk/diever/ketelstraat-praktijk-voor-fysiotherapie",fysiotherapiepraktijk,Ketelstraat Praktijk voor Fysiotherapie - Diever,Raadhuislaan 6,7981 EM ,Diever,52.859085,6.310521,,0521-593484,
Drenthe,"/zorgorganisatie/811650/psychologenpraktijk/diever/oosterhof-psychologenpraktijk",psychologenpraktijk,Oosterhof Psychologenpraktijk - Diever,Achterstraat 1,7981 AS ,Diever,52.856510,6.316013,,0521-593536,
Drenthe,"/zorgorganisatie/811649/psychologenpraktijk/diever/bak-psycholoog-dr-a-p",psychologenpraktijk,Bak Psycholoog Dr A P - Diever,Hermialaan 7,7981 LM ,Diever,52.866802,6.302439,,0521-550277,
Drenthe,"/zorgorganisatie/805650/fysiotherapiepraktijk/donderen/hansems-praktijk-voor-dier-fysio-en-manueeltherapie-db",fysiotherapiepraktijk,Hansems Praktijk voor (dier-) Fysio- en Manueeltherapie Db - Donderen,Noordeinde 1,9497 PL ,Donderen,53.095352,6.541514,,0592-559223,
Drenthe,"/zorgorganisatie/796038/fysiotherapiepraktijk/dwingeloo/fysiotherapie-praktijk-dwingeloo",fysiotherapiepraktijk,Fysiotherapie Praktijk Dwingeloo - Dwingeloo,Entingheweg 18b,7991 CC ,Dwingeloo,52.837147,6.365060,,0521-592190,
Drenthe,"/zorgorganisatie/805386/fysiotherapiepraktijk/dwingeloo/kinderfysiotherapie-en-logopedie-dwingeloo",fysiotherapiepraktijk,Kinderfysiotherapie en Logopedie Dwingeloo - Dwingeloo,Entingheweg 19,7991 CC ,Dwingeloo,52.837147,6.365060,,0521-590060,
Drenthe,"/zorgorganisatie/813325/fysiotherapiepraktijk/dwingeloo/praktijk-voor-kinderfysiotherapie",fysiotherapiepraktijk,Praktijk voor kinderfysiotherapie - Dwingeloo,Entingheweg 18b,7991 CC ,Dwingeloo,52.837147,6.365060,,0521-590060,
Drenthe,"/zorgorganisatie/805387/fysiotherapiepraktijk/dwingeloo/praktijk-voor-fysiotherapie-en-haptonomie",fysiotherapiepraktijk,Praktijk voor Fysiotherapie en Haptonomie - Dwingeloo,Westeinde 22,7991 RV ,Dwingeloo,52.821487,6.346066,,0521-598384,
Drenthe,"/zorgorganisatie/805295/fysiotherapiepraktijk/eelde/haan-janneke-de",fysiotherapiepraktijk,Haan Janneke de - Eelde,Schoollaan 37/a,9761 AA ,Eelde,53.140770,6.566996,,050-3091864,
Drenthe,"/zorgorganisatie/795794/fysiotherapiepraktijk/eelde/wolfhorn-praktijk-voor-fysiotherapie",fysiotherapiepraktijk,Wolfhorn Praktijk voor Fysiotherapie - Eelde,Wolfhorn 12,9761 BC ,Eelde,53.134014,6.572298,,050-3095377,
Drenthe,"/zorgorganisatie/805294/fysiotherapiepraktijk/eelde/toppen-fysiotherapie-a-manuele-therapie-k",fysiotherapiepraktijk,Toppen Fysiotherapie & Manuele Therapie K - Eelde,Esweg 17/a,9761 EN ,Eelde,53.133575,6.572609,,050-3091810,
Drenthe,"/zorgorganisatie/805296/fysiotherapiepraktijk/eelde/huisman-fysio-manuele-therapie-p-a",fysiotherapiepraktijk,Huisman Fysio-Manuele Therapie P A - Eelde,Hooiweg 16/a,9761 GR ,Eelde,53.138203,6.562631,,050-3094508,
Drenthe,"/zorgorganisatie/807469/logopediepraktijk/eelde/eelde-paterswolde-logopedische-praktijk",logopediepraktijk,Eelde Paterswolde Logopedische Praktijk - Eelde,Schoollaan 25,9761 AA ,Eelde,53.140770,6.566996,,050-3095677,
Drenthe,"/zorgorganisatie/811597/psychologenpraktijk/eelderwolde/wijnberg-kratochvil-drs-t-v",psychologenpraktijk,Wijnberg-Kratochvil Drs T V - Eelderwolde,Groningerweg 97,9766 TM ,Eelderwolde,53.173210,6.546730,,050-5257195,
Drenthe,"/zorgorganisatie/811603/psychologenpraktijk/eelderwolde/sas-j-f",psychologenpraktijk,Sas J F - Eelderwolde,Groningerweg 125,9766 TN ,Eelderwolde,53.173210,6.546730,,050-5272132,
Drenthe,"/zorgorganisatie/805423/fysiotherapiepraktijk/elim/polman-fysiotherapie",fysiotherapiepraktijk,Polman Fysiotherapie - Elim,Carstenswijk 45,7916 PH ,Elim,52.682346,6.577796,,0528-351565,
Drenthe,"/zorgorganisatie/811772/psychologenpraktijk/elp/lichaamsgericht-werkend-psycholoog-martijn-rasche",psychologenpraktijk,Lichaamsgericht Werkend Psycholoog Martijn Rasche - Elp,Tipweg 9,9442 PH ,Elp,52.879089,6.645174,,0593-346436,
Drenthe,"/zorgorganisatie/791614/apotheek/emmen/apotheek-haagjesweg",apotheek,Apotheek Haagjesweg - Emmen,Middenhaag 5,7815 LB ,Emmen,52.798271,6.895484,,0591-616288,
Drenthe,"/zorgorganisatie/805634/fysiotherapiepraktijk/emmen/health-emmen",fysiotherapiepraktijk,Health Emmen - Emmen,Noordbargerstraat 14,7811 KG ,Emmen,52.049091,4.268427,,0591-659569,
Drenthe,"/zorgorganisatie/795859/fysiotherapiepraktijk/emmen/zuylen-praktijk-voor-fysiotherapie-r-van",fysiotherapiepraktijk,Zuylen Praktijk voor Fysiotherapie R. van - Emmen,Bargerkampenweg 23,7812 BV ,Emmen,52.775414,6.871925,,0591-659176,
Drenthe,"/zorgorganisatie/814173/fysiotherapiepraktijk/emmen/club-fysio-therapie-emmen",fysiotherapiepraktijk,Club Fysio Therapie Emmen - Emmen,Brinkenhalte 16,7812 HX ,Emmen,52.756168,6.886596,,0900-2582 39746 (lokaal tarief),
Drenthe,"/zorgorganisatie/805632/fysiotherapiepraktijk/emmen/bargeres-praktijk-voor-fysiotherapie",fysiotherapiepraktijk,Bargeres Praktijk voor Fysiotherapie - Emmen,Balingerbrink 264,7812 SR ,Emmen,52.765366,6.888003,,0591-648450,
